auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
12.884749	-1.093186	12.838291	127.927514	0.082396	-1025001.000000	2.000127	-0.224383	1.987501	10.885516	-0.868804	10.850790	1.000000	11.752086	1542945306.107157	9.928599
12.884060	-1.094069	12.837523	127.721649	0.081886	-1025001.000000	2.000127	-0.224383	1.987501	10.884821	-0.869687	10.850022	1.000000	11.733922	1542945306.123156	9.913153
12.884676	-1.094847	12.838076	127.618699	0.081639	-1025001.000000	2.000127	-0.224383	1.987501	10.885434	-0.870465	10.850575	1.000000	11.723804	1542945306.131157	9.904688
12.885682	-1.095279	12.839048	128.175085	0.081396	-1025001.000000	2.000066	-0.223915	1.987492	10.886485	-0.871364	10.851556	1.000000	11.773781	1542945306.139156	9.947094
12.886652	-1.095155	12.840032	128.072120	0.081153	-1025001.000000	2.000066	-0.223915	1.987492	10.887456	-0.871241	10.852540	1.000000	11.763274	1542945306.147157	9.938355
12.889465	-1.092276	12.843101	127.866197	0.080646	-1025001.000000	2.000066	-0.223915	1.987492	10.890285	-0.868362	10.855609	1.000000	11.741309	1542945306.163156	9.920210
12.891221	-1.090349	12.845027	127.763225	0.080370	-1025001.000000	2.000066	-0.223915	1.987492	10.892051	-0.866434	10.857535	1.000000	11.729951	1542945306.171155	9.910871
12.892160	-1.088765	12.846104	127.660267	0.080078	-1025001.000000	2.000066	-0.223915	1.987492	10.892999	-0.864850	10.858612	1.000000	11.719479	1542945306.179152	9.902162
12.892157	-1.086080	12.846328	127.454242	0.079457	-1025001.000000	2.000066	-0.223915	1.987492	10.893009	-0.862165	10.858835	1.000000	11.700555	1542945306.195154	9.886185
12.891262	-1.085794	12.845454	127.351245	0.079136	-1025001.000000	2.000066	-0.223915	1.987492	10.892115	-0.861879	10.857962	1.000000	11.692059	1542945306.203154	9.878881
12.891012	-1.085259	12.845249	127.248256	0.078813	-1025001.000000	2.000066	-0.223915	1.987492	10.891868	-0.861344	10.857756	1.000000	11.682868	1542945306.211154	9.871083
12.891063	-1.084768	12.845341	127.145280	0.078485	-1025001.000000	2.000066	-0.223915	1.987492	10.891921	-0.860853	10.857848	1.000000	11.673357	1542945306.219153	9.863057
12.890578	-1.084250	12.844898	127.042291	0.078154	-1025001.000000	2.000066	-0.223915	1.987492	10.891439	-0.860335	10.857406	1.000000	11.664418	1542945306.227153	9.855438
12.889766	-1.084433	12.844068	128.336365	0.077487	-1025001.000000	2.000126	-0.228380	1.987045	10.890719	-0.856053	10.857023	1.000000	11.784012	1542945306.243154	9.956454
12.890315	-1.084590	12.844605	128.233358	0.077156	-1025001.000000	2.000126	-0.228380	1.987045	10.891267	-0.856210	10.857560	1.000000	11.773961	1542945306.251156	9.948039
12.891672	-1.084621	12.845964	128.130423	0.076825	-1025001.000000	2.000126	-0.228380	1.987045	10.892625	-0.856241	10.858919	1.000000	11.763044	1542945306.259152	9.939008
12.892912	-1.084434	12.847225	128.027330	0.076721	-1025001.000000	2.000126	-0.228380	1.987045	10.893866	-0.856054	10.860179	1.000000	11.752240	1542945306.267156	9.930055
12.895205	-1.082732	12.849669	127.821239	0.076497	-1025001.000000	2.000126	-0.228380	1.987045	10.896170	-0.854352	10.862624	1.000000	11.730841	1542945306.283154	9.912308
12.895551	-1.081176	12.850147	127.718174	0.076371	-1025001.000000	2.000126	-0.228380	1.987045	10.896525	-0.852796	10.863102	1.000000	11.721001	1542945306.291154	9.904050
12.895358	-1.079510	12.850094	127.615082	0.076231	-1025001.000000	2.000126	-0.228380	1.987045	10.896341	-0.851130	10.863049	1.000000	11.711737	1542945306.299156	9.896203
12.895018	-1.078522	12.849836	127.512056	0.076081	-1025001.000000	2.000126	-0.228380	1.987045	10.896006	-0.850142	10.862790	1.000000	11.702641	1542945306.307153	9.888475
12.895323	-1.078300	12.850160	127.305875	0.075770	-1025001.000000	2.000126	-0.228380	1.987045	10.896313	-0.849920	10.863115	1.000000	11.683390	1542945306.323157	9.872252
12.895423	-1.078291	12.850262	127.202799	0.075614	-1025001.000000	2.000126	-0.228380	1.987045	10.896413	-0.849911	10.863217	1.000000	11.673823	1542945306.331158	9.864182
12.895519	-1.078186	12.850366	127.964633	0.075457	-1025001.000000	2.000065	-0.227793	1.987051	10.896549	-0.850392	10.863315	1.000000	11.743592	1542945306.339157	9.923186
12.895684	-1.077783	12.850566	127.861555	0.075299	-1025001.000000	2.000065	-0.227793	1.987051	10.896717	-0.849990	10.863515	1.000000	11.733952	1542945306.347158	9.915066
12.897599	-1.075497	12.852679	127.655433	0.074959	-1025001.000000	2.000065	-0.227793	1.987051	10.898645	-0.847703	10.865628	1.000000	11.712963	1542945306.363156	9.897612
12.885669	-1.068424	12.841298	127.572456	0.074674	-1025001.000000	2.000065	-0.227793	1.987051	10.886750	-0.840630	10.854247	1.000000	11.718139	1542945306.371159	9.900337
12.886152	-1.066797	12.841918	127.469593	0.074262	-1025001.000000	2.000065	-0.227793	1.987051	10.887243	-0.839003	10.854867	1.000000	11.708160	1542945306.379158	9.891983
12.885992	-1.065456	12.841869	127.263833	0.073409	-1025001.000000	2.000065	-0.227793	1.987051	10.887091	-0.837662	10.854818	1.000000	11.689425	1542945306.395158	9.876138
12.884342	-1.065405	12.840218	127.160937	0.072980	-1025001.000000	2.000065	-0.227793	1.987051	10.885441	-0.837611	10.853167	1.000000	11.681745	1542945306.403160	9.869416
12.882945	-1.065193	12.838833	127.058091	0.072546	-1025001.000000	2.000065	-0.227793	1.987051	10.884044	-0.837399	10.851782	1.000000	11.673794	1542945306.411158	9.862503
12.882098	-1.065422	12.837965	126.955282	0.072113	-1025001.000000	2.000065	-0.227793	1.987051	10.883196	-0.837629	10.850914	1.000000	11.665258	1542945306.419154	9.855171
12.881369	-1.066691	12.837127	126.852371	0.071686	-1025001.000000	2.000065	-0.227793	1.987051	10.882459	-0.838898	10.850076	1.000000	11.656591	1542945306.427158	9.847740
12.881951	-1.069762	12.837456	126.759581	0.070868	-1025001.000000	0.000000	0.000000	0.000000	12.881951	-1.069762	12.837456	1.000000	9.840092	1542945306.443161	9.840092
12.882268	-1.070643	12.837700	126.656771	0.070475	-1025001.000000	0.000000	0.000000	0.000000	12.882268	-1.070643	12.837700	1.000000	9.831869	1542945306.451157	9.831869
12.882607	-1.070975	12.838013	126.553857	0.070086	-1025001.000000	0.000000	0.000000	0.000000	12.882607	-1.070975	12.838013	1.000000	9.823621	1542945306.459161	9.823621
12.883007	-1.071670	12.838356	126.451004	0.069701	-1025001.000000	0.000000	0.000000	0.000000	12.883007	-1.071670	12.838356	1.000000	9.815333	1542945306.467160	9.815333
12.883874	-1.072565	12.839152	126.245270	0.068944	-1025001.000000	0.000000	0.000000	0.000000	12.883874	-1.072565	12.839152	1.000000	9.798704	1542945306.483159	9.798704
12.882560	-1.070858	12.837976	126.039607	0.068183	-1025001.000000	0.000000	0.000000	0.000000	12.882560	-1.070858	12.837976	1.000000	9.783739	1542945306.499153	9.783739
12.879918	-1.070889	12.835321	125.833861	0.067400	-1025001.000000	0.000000	0.000000	0.000000	12.879918	-1.070889	12.835321	1.000000	9.769772	1542945306.515156	9.769772
12.867519	-1.073432	12.822667	125.750173	0.067568	-1025001.000000	0.000000	0.000000	0.000000	12.867519	-1.073432	12.822667	1.000000	9.772682	1542945306.523154	9.772682
12.867324	-1.075837	12.822270	125.647299	0.067256	-1025001.000000	0.000000	0.000000	0.000000	12.867324	-1.075837	12.822270	1.000000	9.764835	1542945306.531159	9.764835
12.868692	-1.078339	12.823433	125.574314	0.066964	-1025001.000000	0.000000	0.000000	0.000000	12.868692	-1.078339	12.823433	1.000000	9.758125	1542945306.539159	9.758125
12.869599	-1.078813	12.824303	125.471503	0.066682	-1025001.000000	0.000000	0.000000	0.000000	12.869599	-1.078813	12.824303	1.000000	9.749449	1542945306.547158	9.749449
12.870369	-1.078013	12.825143	125.265881	0.066112	-1025001.000000	0.000000	0.000000	0.000000	12.870369	-1.078013	12.825143	1.000000	9.732890	1542945306.563155	9.732890
12.870529	-1.078890	12.825229	125.163020	0.065829	-1025001.000000	0.000000	0.000000	0.000000	12.870529	-1.078890	12.825229	1.000000	9.724777	1542945306.571157	9.724777
12.871248	-1.079574	12.825893	125.060220	0.065551	-1025001.000000	0.000000	0.000000	0.000000	12.871248	-1.079574	12.825893	1.000000	9.716247	1542945306.579154	9.716247
12.871853	-1.080748	12.826402	124.854517	0.065009	-1025001.000000	0.000000	0.000000	0.000000	12.871853	-1.080748	12.826402	1.000000	9.699809	1542945306.595155	9.699809
12.871189	-1.081695	12.825656	124.751659	0.064748	-1025001.000000	0.000000	0.000000	0.000000	12.871189	-1.081695	12.825656	1.000000	9.692318	1542945306.603156	9.692318
12.870601	-1.082256	12.825018	124.648834	0.064492	-1025001.000000	0.000000	0.000000	0.000000	12.870601	-1.082256	12.825018	1.000000	9.684772	1542945306.611155	9.684772
12.870714	-1.082861	12.825080	124.545998	0.064242	-1025001.000000	0.000000	0.000000	0.000000	12.870714	-1.082861	12.825080	1.000000	9.676697	1542945306.619155	9.676697
12.872971	-1.086191	12.827064	124.340306	0.063770	-1025001.000000	0.000000	0.000000	0.000000	12.872971	-1.086191	12.827064	1.000000	9.659022	1542945306.635155	9.659022
12.873987	-1.088154	12.827917	124.098587	0.063554	-1025001.000000	0.000000	0.000000	0.000000	12.873987	-1.088154	12.827917	1.000000	9.639484	1542945306.643156	9.639484
12.875001	-1.089226	12.828844	123.995719	0.063350	-1025001.000000	0.000000	0.000000	0.000000	12.875001	-1.089226	12.828844	1.000000	9.630734	1542945306.651156	9.630734
12.876273	-1.088413	12.830189	123.892840	0.063147	-1025001.000000	0.000000	0.000000	0.000000	12.876273	-1.088413	12.830189	1.000000	9.621794	1542945306.659156	9.621794
12.877092	-1.086772	12.831151	123.789995	0.062933	-1025001.000000	0.000000	0.000000	0.000000	12.877092	-1.086772	12.831151	1.000000	9.613195	1542945306.667153	9.613195
12.877930	-1.084336	12.832198	123.584212	0.062467	-1025001.000000	0.000000	0.000000	0.000000	12.877930	-1.084336	12.832198	1.000000	9.596590	1542945306.683153	9.596590
